age,gender,total,HI_less8,HI8,HI16,HI32,HI64,HI128,HI256,HI512,HI_more1024,prevalence
56,female,22,2,2,2,1,2,5,5,2,1,90.9090909090909
57,female,26,1,0,3,3,7,2,3,5,2,96.15384615384616
58,female,16,2,0,3,2,4,3,2,0,0,87.5
59,female,28,0,0,4,5,2,10,5,2,0,100
60,female,15,2,1,1,1,4,2,1,2,1,86.66666666666667
61,female,20,1,0,0,3,2,6,5,3,0,95
62,female,14,1,0,0,1,4,4,2,1,1,92.85714285714286
63,female,11,0,1,2,1,2,1,4,0,0,100
64,female,7,0,1,0,1,1,2,1,1,0,100
65,female,9,1,0,3,2,1,0,0,0,2,88.88888888888889
66,female,6,1,0,0,0,0,2,3,0,0,83.33333333333333
67,female,4,1,0,0,1,1,0,0,1,0,75
68,female,3,1,0,0,1,0,0,1,0,0,66.66666666666667
69,female,6,0,0,1,2,0,2,1,0,0,100
70,female,28,6,2,3,6,2,3,3,3,0,78.57142857142857
0,all,94,69,15,5,2,1,2,0,0,0,26.595744680851062
0,female,46,32,9,3,2,0,0,0,0,0,30.434782608695652
0,male,48,37,6,2,0,1,2,0,0,0,22.916666666666668
