age,total,HI_less8,HI8,HI16,HI32,HI64,HI128,HI256,HI512,HI_more1024,gender,prevalence
58,18,2,1,1,5,1,5,3,0,0,female,88.88888888888889
59,22,2,0,2,3,4,4,6,1,0,female,90.9090909090909
60,19,1,0,0,1,6,4,2,2,3,female,94.73684210526316
61,18,1,0,1,1,3,6,4,2,0,female,94.44444444444444
62,23,2,1,1,6,3,5,4,0,1,female,91.30434782608695
63,4,0,0,1,2,0,1,0,0,0,female,100
64,6,0,1,0,0,2,0,2,1,0,female,100
65,11,1,1,2,1,4,2,0,0,0,female,90.9090909090909
66,9,0,1,0,1,4,1,2,0,0,female,100
67,2,0,0,0,1,1,0,0,0,0,female,100
68,7,0,1,2,0,2,0,1,1,0,female,100
69,6,0,0,3,1,0,1,1,0,0,female,100
70,19,2,0,1,4,4,3,5,0,0,female,89.47368421052632
0,80,60,4,10,2,3,1,0,0,0,all,25
0,33,25,1,5,0,1,1,0,0,0,female,24.242424242424242
0,47,35,3,5,2,2,0,0,0,0,male,25.53191489361702
