割付,№,県番号,地域分類,性別,年齢,年齢階層,性年代,q1,q2t,q3_1t,q3_2t,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15a,q15b_1,q15b_2,q15b_3,q15b_4,q15b_5,q15b_6,q15b_7,q15b_8,q15b_9,q15b_10,q15b_11,q16.1,q16.2,q16.3,q16.4,q16.5,q16.6,q16.7,q16.0,q16_6t,q17,q18_1,q18_2,q18_3,q18_4,q18_5,q18_6,q18_7,q18_8,q19,q20,q21,q22,q23t,q24t,q25,q25_10t,q26,q26_8t,q27,q27_10t,q28,q29,q30,q31.1,q31.2,q31.3,q31.4,q31.5,q31.6,q31.7,q31.8,q31.0,q31_7t,q32,q33,q33_7t,回答開始日時,回答日時
Facebook非利用者,25,12,3,1,56,5,5,1,56,38,9,2,,3,3,,3,,5,,3,,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,4,3,5,5,5,4,2,1,12,2,3,3,0,,1,,1,,6,,1,6,3,0,0,0,0,0,1,0,0,0,,13,6,,2020/3/17 18:16,2020/3/17 18:21
Facebook非利用者,26,39,8,1,50,5,5,1,50,44,11,2,,3,2,,3,,5,,2,3,3,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,2,1,5,3,4,4,1,3,39,2,7,3,0,,2,,1,,5,,1,1,8,0,0,1,0,0,0,0,0,0,,5,1,,2020/3/17 18:16,2020/3/17 18:21
Facebook非利用者,27,15,4,1,45,4,4,1,45,50,3,2,,2,2,,2,2,5,,2,1,1,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,4,4,1,4,5,4,1,4,15,2,7,3,0,,2,,1,,10,介護福祉士,,,,,,,,,,,,0,,4,4,,2020/3/17 18:16,2020/3/17 18:33
Facebook非利用者,29,46,9,1,46,4,4,1,46,48,7,2,,2,1,2,,,1,3,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,,1,4,2,4,3,4,3,3,3,46,2,7,3,0,,2,,1,,3,,1,1,6,1,0,0,0,0,0,0,0,0,,4,6,,2020/3/17 18:17,2020/3/17 18:23
Facebook非利用者,30,12,3,1,51,5,5,1,51,43,9,2,,1,3,,3,,5,,2,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,5,1,5,1,4,1,3,4,12,2,3,2,0,,2,,1,,9,,,,,,,,,,,,,0,,3,8,,2020/3/17 18:17,2020/3/17 18:25
Facebook非利用者,31,13,3,1,49,4,4,1,49,45,6,2,,2,2,,3,,4,,3,,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,4,2,4,4,4,4,2,4,13,1,7,3,0,,1,,3,,1,,1,1,7,1,0,0,0,0,0,0,0,0,,5,6,,2020/3/17 18:17,2020/3/17 18:20
Facebook利用者,32,29,6,1,55,5,5,1,55,39,5,1,5,1,2,,3,,4,,3,,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,3,3,3,3,3,3,3,3,29,2,3,1,3,24,4,,1,,2,,1,1,8,0,0,0,0,0,1,0,0,0,,5,8,,2020/3/17 18:17,2020/3/17 18:20
Facebook非利用者,34,12,3,1,51,5,5,1,51,43,4,2,,3,3,,3,,5,,3,,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,4,2,3,3,4,4,2,2,12,2,3,1,3,18,4,,1,,6,,1,1,4,0,0,1,0,0,0,0,0,0,,1,8,,2020/3/17 18:17,2020/3/17 18:21
Facebook非利用者,35,11,3,1,56,5,5,1,56,38,7,2,,2,2,,3,,5,,3,,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,5,3,5,5,5,4,1,3,11,3,7,1,3,10,4,,1,,10,経営者,,,,,,,,,,,,0,,7,8,,2020/3/17 18:17,2020/3/17 18:19
Facebook利用者,36,40,9,1,57,5,5,1,57,38,2,1,6,2,2,,4,,1,3,,,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,1,4,1,1,1,1,4,1,3,40,1,7,1,3,15,4,,1,,3,,2,1,7,0,0,0,0,0,1,0,0,0,,6,3,,2020/3/17 18:17,2020/3/17 18:21
Facebook利用者,37,13,3,1,53,5,5,1,53,41,6,1,4,1,2,,4,,4,,3,,3,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,4,2,5,4,4,4,4,5,13,1,7,1,1,15,7,,1,,3,,3,1,1,0,0,0,0,0,0,0,1,0,,5,6,,2020/3/17 18:17,2020/3/17 18:19
Facebook非利用者,38,13,3,1,51,5,5,1,51,43,8,2,,1,3,,3,,5,,2,3,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,5,1,5,4,5,5,5,2,13,1,7,1,1,19,5,,2,,1,,1,5,3,0,0,0,0,1,0,0,0,0,,3,6,,2020/3/17 18:17,2020/3/17 18:25
Facebook非利用者,39,29,6,1,41,4,4,1,41,53,5,2,,2,2,,4,,1,3,,,1,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,1,5,1,5,5,5,5,1,5,29,2,5,3,0,,2,,1,,7,,4,6,1,1,0,0,0,0,0,0,0,0,,13,6,,2020/3/17 18:17,2020/3/17 18:20
Facebook非利用者,40,12,3,1,43,4,4,1,43,52,1,2,,2,1,2,,,2,,,,1,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,4,2,4,4,4,4,3,2,12,1,7,1,4,0,4,,1,,3,,1,1,7,1,0,0,1,0,1,0,0,0,,7,3,,2020/3/17 18:17,2020/3/17 18:22
Facebook非利用者,41,16,4,1,51,5,5,1,51,44,3,2,,2,3,,4,,5,,4,,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,,3,2,1,2,2,4,1,1,3,16,2,7,3,0,,1,,4,,6,,1,4,7,0,1,0,0,0,0,0,0,0,,3,8,,2020/3/17 18:17,2020/3/17 18:20
Facebook非利用者,42,28,6,1,52,5,5,1,52,43,1,2,,1,2,,2,2,1,3,,,3,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,1,5,5,5,5,5,5,1,3,28,2,5,1,2,19,4,,1,,6,,1,1,8,1,0,0,0,1,0,0,0,0,,3,2,,2020/3/17 18:17,2020/3/17 18:23
Facebook非利用者,43,16,4,1,44,4,4,1,44,50,5,2,,1,2,,5,,4,,5,,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,,3,4,3,3,3,3,3,1,3,16,2,7,3,0,,2,,1,,6,,1,1,3,0,0,0,0,0,1,0,0,0,,3,8,,2020/3/17 18:17,2020/3/17 18:19
Facebook非利用者,44,1,1,1,49,4,4,1,49,45,6,2,,3,3,,3,,4,,3,,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,5,3,5,4,3,1,3,5,1,2,7,2,0,,2,,1,,3,,3,1,2,0,0,0,0,0,1,0,0,0,,4,1,,2020/3/17 18:17,2020/3/17 18:20
Facebook非利用者,45,23,5,1,42,4,4,1,42,52,8,2,,2,2,,3,,5,,3,,3,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,4,4,4,5,5,5,5,3,23,2,7,1,2,12,7,,1,,1,,1,1,7,0,0,0,0,0,1,0,0,0,,5,6,,2020/3/17 18:17,2020/3/17 18:22
Facebook非利用者,47,27,6,1,51,5,5,1,51,43,8,2,,2,2,,3,,4,,3,,3,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,5,5,5,5,5,5,2,5,27,1,7,3,0,,2,,5,,2,,1,1,3,1,0,0,0,1,0,0,0,0,,3,8,,2020/3/17 18:17,2020/3/17 18:21
Facebook利用者,48,22,5,1,46,4,4,1,46,48,5,1,5,1,2,,3,,5,,3,,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,4,2,4,3,3,4,2,2,22,1,7,2,0,,1,,3,,3,,3,1,2,0,0,0,0,0,1,0,0,0,,6,4,,2020/3/17 18:17,2020/3/17 18:20
Facebook利用者,49,1,1,1,54,5,5,1,54,40,7,1,3,1,2,,3,,5,,3,,3,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,5,5,4,5,5,5,2,2,1,1,7,2,0,,1,,3,,10,ITコンサルタント,,,,,,,,,,,,0,,5,6,,2020/3/17 18:17,2020/3/17 18:20
Facebook非利用者,50,28,6,1,57,5,5,1,57,38,3,2,,1,2,,3,,5,,3,,3,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,2,1,5,2,3,4,2,2,28,2,3,1,4,14,4,,3,,6,,1,1,8,0,0,0,0,0,1,0,0,0,,6,6,,2020/3/17 18:17,2020/3/17 18:25
