割付,№,県番号,地域分類,性別,年齢,年齢階層,性年代,q1,q2t,q3_1t,q3_2t,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15a,q15b_1,q15b_2,q15b_3,q15b_4,q15b_5,q15b_6,q15b_7,q15b_8,q15b_9,q15b_10,q15b_11,q16.1,q16.2,q16.3,q16.4,q16.5,q16.6,q16.7,q16.0,q16_6t,q17,q18_1,q18_2,q18_3,q18_4,q18_5,q18_6,q18_7,q18_8,q19,q20,q21,q22,q23t,q24t,q25,q25_10t,q26,q26_8t,q27,q27_10t,q28,q29,q30,q31.1,q31.2,q31.3,q31.4,q31.5,q31.6,q31.7,q31.8,q31.0,q31_7t,q32,q33,q33_7t,回答開始日時,回答日時
Facebook非利用者,1643,40,9,1,46,4,4,1,46,48,12,2,,1,3,,5,,5,,3,,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,2,1,5,4,5,1,1,4,40,2,3,3,0,,2,,1,,6,,1,1,2,0,0,0,0,0,1,0,0,0,,5,2,,2020/3/17 18:50,2020/3/17 18:53
Facebook非利用者,1644,22,5,1,54,5,5,1,54,40,5,2,,3,1,3,,,5,,4,,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,3,2,4,1,3,1,1,2,22,3,7,1,1,26,3,,2,,3,,1,1,8,0,0,1,0,0,0,0,0,0,,4,6,,2020/3/17 18:50,2020/3/17 18:56
Facebook利用者,1645,11,3,1,41,4,4,1,41,53,6,1,3,2,3,,1,3,5,,1,3,1,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,,1,5,3,5,3,3,5,5,1,11,2,7,3,0,,1,,3,,10,製造,,,,,,,,,,,,0,,3,5,,2020/3/17 18:50,2020/3/17 18:53
Facebook非利用者,1646,47,9,1,42,4,4,1,42,52,4,2,,2,3,,3,,5,,3,,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,4,3,3,1,1,1,1,3,47,2,3,1,4,10,4,,1,,3,,4,1,1,1,0,0,0,0,0,0,0,0,,3,6,,2020/3/17 18:50,2020/3/17 18:54
Facebook非利用者,1647,12,3,1,51,5,5,1,51,43,12,2,,2,2,,3,,4,,3,,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,5,3,5,5,3,3,5,3,12,2,3,1,0,,3,,3,,6,,4,6,1,0,0,0,0,0,1,0,0,0,,5,4,,2020/3/17 18:50,2020/3/17 18:52
Facebook利用者,1649,27,6,1,49,4,4,1,49,45,12,1,3,2,1,2,,,1,2,,,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,5,3,5,5,5,5,3,3,27,1,5,1,2,17,4,,1,,4,,3,1,1,1,0,0,0,1,0,0,0,0,,13,5,,2020/3/17 18:50,2020/3/17 18:54
Facebook非利用者,1651,19,5,1,54,5,5,1,54,40,9,2,,1,2,,4,,1,3,,,3,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,4,4,4,5,5,5,5,3,2,19,2,7,3,0,,2,,1,,3,,1,1,7,0,0,0,0,0,1,0,0,0,,7,4,,2020/3/17 18:50,2020/3/17 18:53
Facebook利用者,1653,46,9,1,52,5,5,1,52,43,2,1,4,3,2,,3,,5,,3,,3,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,3,2,2,2,2,1,3,3,46,2,3,1,4,15,4,,1,,3,,3,1,3,0,0,0,0,0,1,0,0,0,,5,6,,2020/3/17 18:50,2020/3/17 19:03
Facebook非利用者,1654,14,3,1,49,4,4,1,49,45,9,2,,2,2,,3,,4,,3,,3,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,1,0,,3,5,1,3,1,1,5,5,1,14,1,3,1,2,23,1,,3,,10,個人事業主,,,,,,,,,,,,0,,13,5,,2020/3/17 18:50,2020/3/17 18:54
Facebook利用者,1655,24,6,1,56,5,5,1,56,38,6,1,4,1,2,,4,,4,,2,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,2,1,1,1,5,1,1,3,24,2,7,1,2,23,4,,1,,4,,1,1,4,0,0,0,0,0,1,0,0,0,,8,4,,2020/3/17 18:50,2020/3/17 18:53
Facebook非利用者,1656,23,5,1,43,4,4,1,43,51,7,2,,2,1,2,,,2,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,3,1,3,1,1,2,1,3,23,2,7,1,0,,3,,1,,4,,1,1,7,1,0,0,0,1,0,0,0,0,,4,2,,2020/3/17 18:50,2020/3/17 18:59
Facebook非利用者,1657,12,3,1,46,4,4,1,46,48,10,2,,2,2,,3,,5,,3,,1,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,4,1,1,1,4,4,2,4,12,2,7,1,1,10,4,,1,,1,,1,1,7,0,0,0,1,1,0,0,0,0,,7,6,,2020/3/17 18:50,2020/3/17 18:57
Facebook非利用者,1660,38,8,1,57,5,5,1,57,37,10,2,,2,2,,4,,4,,3,,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,4,3,4,4,4,4,3,3,38,2,7,2,3,17,5,,1,,10,地方公務,,,,,,,,,,,,0,,4,8,,2020/3/17 18:50,2020/3/17 18:58
Facebook非利用者,1662,40,9,1,50,5,5,1,50,44,8,2,,3,2,,4,,5,,3,,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,3,1,5,3,4,3,1,5,40,1,5,1,1,12,4,,2,,6,,1,1,3,0,0,0,0,0,1,0,0,0,,4,3,,2020/3/17 18:50,2020/3/17 18:55
Facebook非利用者,1663,1,1,1,55,5,5,1,55,40,2,2,,2,2,,3,,4,,3,,3,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,5,4,2,3,4,4,1,1,1,2,3,3,0,,1,,1,,1,,1,1,2,0,0,0,1,0,0,0,0,0,,2,2,,2020/3/17 18:50,2020/3/17 18:56
Facebook非利用者,1664,31,7,1,56,5,5,1,56,38,7,2,,3,2,,3,,5,,3,,3,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,4,2,5,1,3,3,1,4,31,2,3,1,2,14,4,,1,,1,,1,1,3,0,0,0,0,0,1,0,0,0,,4,6,,2020/3/17 18:50,2020/3/17 18:59
Facebook非利用者,1665,27,6,1,53,5,5,1,53,41,4,2,,2,2,,3,,5,,3,,3,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,4,1,4,3,4,2,1,3,27,1,2,1,1,24,3,,1,,10,事業主,,,,,,,,,,,,0,,5,7,趣味を楽しむ,2020/3/17 18:50,2020/3/17 18:55
Facebook非利用者,1666,23,5,1,48,4,4,1,48,47,2,2,,3,2,,4,,5,,4,,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,,3,3,1,5,4,4,1,1,3,23,2,3,3,0,,1,,1,,8,,,,,,,,,,,,,0,,1,8,,2020/3/17 18:50,2020/3/17 18:53
Facebook非利用者,1669,23,5,1,42,4,4,1,42,52,10,2,,1,2,,2,2,4,,1,3,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,自治体からの葉書,3,4,3,4,2,4,3,3,4,23,2,9,1,0,,3,,3,,4,,1,1,8,0,0,0,0,0,1,0,0,0,,8,6,,2020/3/17 18:50,2020/3/17 18:54
Facebook非利用者,1671,13,3,1,55,5,5,1,55,39,7,2,,1,2,,3,,4,,4,,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,1,5,1,1,5,5,3,1,5,13,2,3,1,0,,3,,1,,10,事業主,,,,,,,,,,,,0,,3,3,,2020/3/17 18:51,2020/3/17 19:01
Facebook利用者,1672,14,3,1,45,4,4,1,45,49,5,1,5,1,1,3,,,1,3,,,2,2,2,2,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,,2,5,4,5,4,5,5,4,3,14,2,7,1,3,7,4,,1,,3,,1,1,7,0,0,0,0,0,1,0,0,0,,6,4,,2020/3/17 18:51,2020/3/17 18:55
Facebook非利用者,1673,13,3,1,46,4,4,1,46,48,5,2,,1,2,,3,,5,,3,,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,,3,1,1,1,1,1,1,1,1,13,2,7,3,0,,1,,5,,9,,,,,,,,,,,,,0,,1,8,,2020/3/17 18:51,2020/3/17 18:52
Facebook利用者,1674,1,1,1,45,4,4,1,45,50,2,1,6,2,2,,4,,5,,3,,3,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,1,0,,2,4,1,2,4,4,3,1,3,1,2,3,3,0,,2,,1,,5,,1,1,3,0,0,0,0,0,1,0,0,0,,3,6,,2020/3/17 18:51,2020/3/17 18:55
Facebook利用者,1676,38,8,1,57,5,5,1,57,37,9,1,5,1,3,,3,,1,3,,,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,4,3,1,4,3,2,2,2,38,2,7,1,2,21,4,,1,,3,,3,1,2,0,0,0,0,0,1,0,0,0,,12,4,,2020/3/17 18:51,2020/3/17 18:56
Facebook非利用者,1677,40,9,1,51,5,5,1,51,43,6,2,,2,2,,3,,4,,3,,3,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,5,1,3,1,1,1,1,2,40,2,7,1,2,22,4,,2,,5,,1,1,5,0,0,0,0,0,1,0,0,0,,5,4,,2020/3/17 18:51,2020/3/17 18:54
Facebook利用者,1679,1,1,1,41,4,4,1,41,53,9,1,4,3,3,,4,,5,,4,,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,5,5,1,2,3,4,4,4,1,1,7,2,1,15,2,,1,,2,,1,3,2,0,0,0,0,0,1,0,0,0,,1,2,,2020/3/17 18:51,2020/3/17 18:55
Facebook非利用者,1680,41,9,1,48,4,4,1,48,47,2,2,,2,2,,3,,4,,3,,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,,3,4,1,4,2,3,2,1,4,41,2,3,3,0,,2,,1,,6,,2,1,1,0,0,0,0,0,1,0,0,0,,5,8,,2020/3/17 18:51,2020/3/17 19:00
Facebook非利用者,1681,6,2,1,52,5,5,1,52,42,12,2,,3,3,,4,,1,3,,,3,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,1,0,,4,4,3,4,3,4,5,3,3,6,2,3,3,0,,2,,1,,9,,,,,,,,,,,,,0,,2,8,,2020/3/17 18:51,2020/3/17 18:55
Facebook利用者,1682,13,3,1,41,4,4,1,41,54,1,1,4,1,1,3,,,2,,,,1,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,2,4,5,5,4,4,5,5,4,13,1,7,3,0,,2,,1,,3,,1,1,4,1,0,0,0,1,0,0,0,0,,7,1,,2020/3/17 18:51,2020/3/17 18:53
Facebook利用者,1683,13,3,1,48,4,4,1,48,46,7,1,3,3,3,,3,,5,,2,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,4,2,3,3,3,3,4,4,13,1,7,1,0,,6,,1,,4,,1,1,2,1,0,0,0,1,0,0,0,0,,5,2,,2020/3/17 18:51,2020/3/17 18:57
Facebook非利用者,1686,45,9,1,55,5,5,1,55,39,9,2,,3,2,,3,,5,,3,,3,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,4,2,1,4,5,2,1,4,45,2,3,3,0,,2,,1,,9,,,,,,,,,,,,,0,,3,8,,2020/3/17 18:51,2020/3/17 18:57
Facebook非利用者,1687,14,3,1,49,4,4,1,49,45,6,2,,2,2,,3,,5,,3,,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,4,1,5,4,4,5,1,2,14,2,3,3,0,,1,,3,,5,,1,1,3,0,0,0,0,1,0,0,0,0,,4,2,,2020/3/17 18:51,2020/3/17 18:55
Facebook非利用者,1688,40,9,1,42,4,4,1,42,52,7,2,,1,3,,3,,1,3,,,3,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,1,4,1,5,3,3,2,2,2,40,2,3,1,1,11,4,,1,,6,,1,1,3,0,0,0,0,0,1,0,0,0,,4,6,,2020/3/17 18:51,2020/3/17 18:54
Facebook非利用者,1689,10,3,1,49,4,4,1,49,45,9,2,,3,3,,3,,5,,3,,3,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,5,1,1,5,5,1,1,5,10,2,11,3,0,,1,,3,,1,,4,6,1,0,0,0,0,0,0,0,1,0,,1,8,,2020/3/17 18:51,2020/3/17 18:55
Facebook非利用者,1691,23,5,1,41,4,4,1,41,53,6,2,,2,2,,3,,4,,3,,3,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,1,1,4,2,3,1,2,2,23,1,3,3,0,,2,,3,,1,,1,1,3,1,1,0,0,0,0,0,0,0,,3,8,,2020/3/17 18:51,2020/3/17 18:56
Facebook非利用者,1692,35,7,1,57,5,5,1,57,38,1,2,,1,1,3,,,1,3,,,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,,2,3,2,5,4,4,3,3,3,35,2,7,1,3,22,3,,1,,4,,2,1,3,0,1,0,0,0,0,0,0,0,,8,2,,2020/3/17 18:51,2020/3/17 19:02
Facebook非利用者,1693,23,5,1,54,5,5,1,54,40,11,2,,3,2,,3,,4,,2,3,2,2,2,2,2,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,,4,4,1,5,4,5,5,3,4,23,2,7,3,0,,1,,3,,6,,1,2,4,0,1,0,0,0,0,0,0,0,,1,2,,2020/3/17 18:51,2020/3/17 18:57
Facebook非利用者,1694,11,3,1,56,5,5,1,56,38,12,2,,1,3,,3,,5,,3,,3,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,2,1,1,4,4,3,4,3,11,3,3,1,2,21,7,,1,,1,,1,1,7,0,0,0,0,0,1,0,0,0,,13,6,,2020/3/17 18:51,2020/3/17 18:55
Facebook非利用者,1695,24,6,1,45,4,4,1,45,49,7,2,,2,2,,3,,5,,3,,3,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,4,3,3,2,3,3,3,3,3,24,2,9,1,2,11,4,,4,,3,,1,1,7,0,0,0,0,1,0,0,0,0,,6,8,,2020/3/17 18:51,2020/3/17 18:53
Facebook利用者,1696,24,6,1,53,5,5,1,53,41,9,1,2,1,3,,3,,5,,3,,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,3,3,3,4,4,2,2,5,24,3,7,1,2,23,7,,1,,10,個人事業主,,,,,,,,,,,,0,,6,3,,2020/3/17 18:51,2020/3/17 18:55
Facebook非利用者,1697,14,3,1,54,5,5,1,54,40,9,2,,1,2,,4,,4,,4,,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,4,1,1,1,4,1,1,4,14,1,9,1,0,,3,,3,,3,,1,1,4,0,1,0,0,0,0,0,0,0,,6,8,,2020/3/17 18:51,2020/3/17 18:56
Facebook利用者,1698,4,2,1,45,4,4,1,45,49,8,1,5,2,1,2,,,2,,,,1,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,4,5,3,5,2,2,3,5,3,4,1,9,3,0,,1,,3,,4,,2,1,9,0,0,0,1,1,1,0,0,0,,5,3,,2020/3/17 18:51,2020/3/17 18:59
Facebook利用者,1699,27,6,1,54,5,5,1,54,41,1,1,6,3,2,,4,,5,,4,,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,4,1,5,1,4,4,4,3,27,2,9,1,1,25,3,,1,,9,,,,,,,,,,,,,0,,13,2,,2020/3/17 18:51,2020/3/17 18:56
Facebook非利用者,1700,12,3,1,49,4,4,1,49,45,12,2,,2,2,,5,,5,,5,,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,,3,1,1,3,1,3,1,1,5,12,2,7,3,0,,1,,3,,9,,,,,,,,,,,,,0,,1,6,,2020/3/17 18:51,2020/3/17 18:55
Facebook非利用者,1701,12,3,1,42,4,4,1,42,52,8,2,,3,3,,3,,5,,3,,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,5,4,5,3,4,4,4,3,12,2,3,1,2,12,4,,2,,2,,1,1,3,1,0,0,0,1,0,0,0,0,,4,8,,2020/3/17 18:51,2020/3/17 18:54
Facebook非利用者,1702,14,3,1,50,5,5,1,50,44,8,2,,2,1,2,,,1,3,,,3,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,5,1,5,5,5,5,2,3,14,1,7,1,2,18,4,,2,,3,,1,1,8,1,0,0,1,1,0,0,0,0,,8,6,,2020/3/17 18:51,2020/3/17 18:57
Facebook非利用者,1703,13,3,1,45,4,4,1,45,49,12,2,,3,3,,3,,5,,3,,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,4,5,5,5,4,5,1,3,13,1,3,3,0,,1,,3,,4,,1,1,7,1,0,0,0,0,0,0,0,0,,5,6,,2020/3/17 18:51,2020/3/17 18:56
Facebook利用者,1704,28,6,1,45,4,4,1,45,49,11,1,6,1,2,,4,,4,,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,4,5,3,5,3,3,4,2,3,28,2,7,2,1,15,10,子供と親,1,,1,,1,1,7,0,0,0,0,1,0,0,0,0,,7,2,,2020/3/17 18:51,2020/3/17 18:55
Facebook非利用者,1705,40,9,1,57,5,5,1,57,37,4,2,,1,3,,2,3,4,,2,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,5,4,5,3,4,5,4,3,40,1,7,1,4,18,4,,2,,3,,1,1,7,0,0,0,1,1,0,0,0,0,,10,3,,2020/3/17 18:51,2020/3/17 18:56
Facebook利用者,1708,35,7,1,54,5,5,1,54,40,7,1,5,1,3,,3,,5,,3,,3,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,3,2,4,2,3,4,4,4,35,3,7,3,0,,1,,1,,9,,,,,,,,,,,,,0,,1,2,,2020/3/17 18:52,2020/3/17 18:55
Facebook非利用者,1709,9,3,1,51,5,5,1,51,43,3,2,,3,2,,2,3,5,,2,3,1,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,4,1,2,3,3,2,2,3,9,2,3,1,1,23,3,,1,,1,,1,1,8,0,0,0,0,0,1,0,0,0,,5,6,,2020/3/17 18:52,2020/3/17 18:56
Facebook非利用者,1710,11,3,1,50,5,5,1,50,44,12,2,,1,2,,3,,4,,3,,3,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,1,0,,3,3,3,3,2,4,1,2,1,11,2,11,1,2,5,4,,1,,4,,1,1,6,1,0,0,0,1,1,0,0,0,,9,1,,2020/3/17 18:52,2020/3/17 18:55
Facebook利用者,1712,46,9,1,46,4,4,1,46,48,12,1,3,2,2,,3,,1,3,,,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,1,4,2,4,4,5,2,1,1,46,2,7,3,0,,6,,1,,2,,4,1,1,0,0,0,0,0,1,0,0,0,,13,6,,2020/3/17 18:52,2020/3/17 18:56
Facebook非利用者,1713,22,5,1,48,4,4,1,48,46,9,2,,3,3,,4,,5,,4,,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,3,2,4,3,5,4,1,3,22,2,7,3,0,,2,,1,,2,,1,1,4,0,0,0,0,0,1,0,0,0,,4,8,,2020/3/17 18:52,2020/3/17 18:56
Facebook非利用者,1714,25,6,1,42,4,4,1,42,52,7,2,,1,3,,3,,5,,3,,3,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,4,3,1,1,1,5,1,2,25,2,6,3,0,,2,,2,,1,,1,1,2,1,0,0,0,1,0,0,0,0,,13,1,,2020/3/17 18:52,2020/3/17 18:54
Facebook利用者,1715,42,9,1,46,4,4,1,46,48,9,1,2,1,1,2,,,2,,,,1,2,2,2,2,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,,2,3,4,3,4,3,3,4,4,42,2,8,1,2,13,4,,1,,1,,1,1,4,0,0,0,0,0,1,0,0,0,,6,3,,2020/3/17 18:52,2020/3/17 18:56
Facebook非利用者,1716,12,3,1,50,5,5,1,50,44,11,2,,3,3,,4,,5,,4,,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,4,3,4,4,4,4,3,3,12,1,3,3,0,,1,,5,,1,,1,1,4,0,0,0,0,0,1,0,0,0,,4,4,,2020/3/17 18:52,2020/3/17 18:56
Facebook非利用者,1717,33,7,1,56,5,5,1,56,38,6,2,,2,3,,3,,5,,3,,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,3,3,3,3,3,3,3,3,33,2,7,2,0,,1,,1,,4,,4,6,2,0,0,0,0,0,1,0,0,0,,13,8,,2020/3/17 18:52,2020/3/17 18:54
Facebook非利用者,1718,34,7,1,49,4,4,1,49,45,10,2,,3,3,,3,,5,,3,,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,4,2,4,4,4,4,2,3,34,1,7,1,2,18,4,,1,,1,,1,1,8,0,0,1,0,0,0,0,0,0,,4,3,,2020/3/17 18:52,2020/3/17 18:54
Facebook非利用者,1719,14,3,1,54,5,5,1,54,40,5,2,,1,2,,4,,4,,4,,3,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,1,0,,4,2,1,5,2,4,2,2,3,14,2,7,1,2,21,4,,1,,4,,2,1,9,0,0,0,0,0,1,0,0,0,,6,3,,2020/3/17 18:52,2020/3/17 18:56
Facebook非利用者,1720,14,3,1,52,5,5,1,52,42,8,2,,1,3,,3,,1,3,,,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,4,3,5,5,5,5,1,3,14,2,7,2,1,21,2,,1,,9,,,,,,,,,,,,,0,,13,2,,2020/3/17 18:52,2020/3/17 18:55
Facebook利用者,1721,1,1,1,50,5,5,1,50,44,10,1,4,1,1,2,,,2,,,,1,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,4,4,1,4,2,4,2,1,1,1,1,3,1,3,14,4,,1,,4,,4,6,1,0,0,0,0,0,0,0,1,0,,1,8,,2020/3/17 18:52,2020/3/17 18:59
Facebook非利用者,1722,37,8,1,57,5,5,1,57,37,12,2,,3,2,,2,3,5,,2,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,3,1,5,3,4,2,1,2,37,2,5,3,0,,1,,3,,9,,,,,,,,,,,,,0,,1,3,,2020/3/17 18:52,2020/3/17 18:57
Facebook非利用者,1723,37,8,1,45,4,4,1,45,49,11,2,,1,2,,3,,1,3,,,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,1,4,3,5,2,4,3,5,4,37,2,7,1,0,,3,,3,,4,,1,1,3,0,0,0,0,0,1,0,0,0,,4,2,,2020/3/17 18:52,2020/3/17 18:58
Facebook非利用者,1724,2,2,1,52,5,5,1,52,42,8,2,,2,3,,4,,5,,4,,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,4,3,4,3,3,2,3,3,2,3,3,1,0,,6,,1,,2,,4,1,1,0,0,0,0,0,1,0,0,0,,2,6,,2020/3/17 18:52,2020/3/17 18:56
Facebook非利用者,1725,23,5,1,54,5,5,1,54,40,12,2,,2,2,,4,,4,,4,,3,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,4,1,5,2,5,1,1,1,23,1,3,3,0,,2,,1,,5,,1,1,4,0,0,0,0,0,1,0,0,0,,2,3,,2020/3/17 18:52,2020/3/17 18:55
Facebook非利用者,1726,21,5,1,57,5,5,1,57,37,7,2,,1,2,,4,,4,,2,3,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,3,1,5,4,4,2,1,3,21,2,7,1,2,19,4,,1,,3,,2,1,9,0,0,0,0,0,1,0,0,0,,8,6,,2020/3/17 18:52,2020/3/17 19:00
Facebook利用者,1727,14,3,1,45,4,4,1,45,49,9,1,6,1,2,,2,3,4,,2,3,1,2,2,2,2,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,,2,4,2,1,2,1,2,2,3,14,1,7,1,0,,3,,3,,1,,1,1,2,1,0,0,0,1,0,0,0,0,,6,2,,2020/3/17 18:52,2020/3/17 18:56
Facebook非利用者,1728,11,3,1,55,5,5,1,55,39,10,2,,2,2,,3,,5,,3,,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,,3,3,3,3,3,3,3,3,3,11,2,3,2,0,,2,,1,,1,,1,1,4,0,0,0,0,1,0,0,0,0,,13,8,,2020/3/17 18:52,2020/3/17 18:54
Facebook非利用者,1730,14,3,1,52,5,5,1,52,42,3,2,,3,2,,4,,5,,3,,3,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,4,4,2,4,4,4,2,3,14,1,5,2,1,18,1,,2,,5,,1,1,5,1,0,0,0,1,1,0,0,0,,4,3,,2020/3/17 18:52,2020/3/17 18:56
Facebook非利用者,1732,23,5,1,44,4,4,1,44,51,2,2,,3,3,,4,,5,,5,,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,,2,4,1,4,3,3,1,1,5,23,1,7,3,0,,1,,1,,6,,1,4,4,1,1,0,0,1,1,0,0,0,,13,6,,2020/3/17 18:52,2020/3/17 19:04
Facebook利用者,1733,13,3,1,43,4,4,1,43,52,4,1,5,3,3,,3,,5,,3,,3,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,3,3,3,3,3,3,3,3,13,1,5,1,1,11,4,,2,,4,,1,1,5,0,0,0,0,1,0,0,0,0,,4,2,,2020/3/17 18:52,2020/3/17 18:56
Facebook利用者,1734,13,3,1,57,5,5,1,57,37,4,1,6,2,2,,3,,4,,3,,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,2,2,1,2,1,1,1,5,13,1,5,1,1,29,3,,5,,3,,1,1,3,0,1,0,0,0,0,0,0,0,,5,6,,2020/3/17 18:52,2020/3/17 18:56
Facebook非利用者,1735,23,5,1,41,4,4,1,41,53,6,2,,2,2,,3,,1,3,,,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,1,0,,4,1,1,1,2,2,2,3,2,23,2,3,1,1,3,4,,1,,5,,1,1,6,0,0,0,0,0,1,0,0,0,,5,8,,2020/3/17 18:52,2020/3/17 18:55
Facebook非利用者,1736,40,9,1,44,4,4,1,44,51,1,2,,2,2,,3,,4,,3,,3,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,4,3,2,4,2,2,1,5,5,40,1,7,1,0,,3,,3,,3,,3,1,2,0,1,0,0,0,0,0,0,0,,5,2,,2020/3/17 18:52,2020/3/17 18:57
Facebook利用者,1738,13,3,1,53,5,5,1,53,41,8,1,4,1,1,3,,,4,,1,3,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,5,4,2,2,3,3,2,2,13,1,7,1,2,28,3,,2,,3,,1,1,5,1,0,0,0,1,0,0,0,0,,6,3,,2020/3/17 18:52,2020/3/17 19:00
