id,exp,antibody,vaccine,coupon,severity,handicap,exp_again,why_norisk,sdist_1,sdist_2,sdist_3,sdist_4,sdist_5,sdist_6,sdist_7,out_antibody,out_vaccine,out_exp,out_coupon,pref,marry,child,working,income,start_time,start_date,nudge,female,age,fb,fb_active,get_coupon,importance,confident,flu_prob,rub_prob,rub_prob_me,wtp_flu,wtp_rub,sdf_f,sdf_u,df_p,df_f,pb,wtp_gain,wtp_loss,int_antibody,sint_antibody,done_antibody,int_vaccine,sint_vaccine,done_vaccine,int_exp,sint_exp,done_exp,int_coupon,sint_coupon,done_coupon
24,2,2,2,3,0,1,0,,20,10,5,15,13,10,5,4,2,3,4,20,3,0,5,3,"2020/2/7 20:50","2020/2/7 21:00","G",0,58,0,0,0,4,0,20,30,20,500,500,.04,0,.889205,.889205,0,-40000,35000,0,0,0,1,0,0,0,0,0,0,0,0
25,1,3,2,2,0,1,0,,18,5,5,18,10,5,0,5,5,5,5,13,2,2,3,1,"2020/2/7 20:40","2020/2/7 21:01","G",0,58,1,1,0,5,0,10,80,80,3500,3500,1.333333,0,.889205,.889205,0,-3000,12500,0,0,0,0,0,0,0,0,0,0,0,0
26,1,2,2,2,0,0,0,,20,15,7,17,16,15,7,2,2,4,3,13,1,0,4,8,"2020/2/7 20:38","2020/2/7 21:01","G",0,55,1,1,0,3,0,50,40,50,500,500,.7,0,.9542896,.889205,0,-11500,25000,1,0,0,1,0,0,0,0,0,0,0,0
28,2,2,2,3,0,0,0,5,18,10,10,10,10,10,10,4,3,3,3,13,1,2,4,4,"2020/2/7 20:52","2020/2/7 21:02","G",0,58,1,1,0,1,1,0,30,0,-5000,-5000,1.1,.7,1.010101,.9990509,0,-3000,60000,0,0,0,0,0,0,0,0,0,0,0,0
29,2,2,1,3,1,0,0,,19,11,9,15,6,4,7,1,1,1,1,13,1,0,4,7,"2020/2/7 20:50","2020/2/7 21:03","G",0,58,0,0,0,5,0,10,30,40,3500,3500,0,0,1.010101,1.001001,0,-11500,0,1,1,0,1,1,0,1,1,0,1,1,0
30,1,2,2,3,0,0,0,,20,10,4,19,15,4,1,2,1,3,2,11,1,2,3,10,"2020/2/7 20:50","2020/2/7 21:03","G",0,56,1,1,0,5,0,50,50,20,5000,5000,.7,.2666667,.9952725,.9868259,0,-3000,47500,1,0,0,1,1,0,0,0,0,1,0,0
31,2,2,2,2,0,0,0,3,20,0,0,0,0,0,0,4,4,4,4,11,1,1,1,9,"2020/2/7 21:00","2020/2/7 21:04","G",0,58,0,0,0,1,1,10,40,0,500,-500,0,0,.889205,.9721007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2,2,2,3,0,0,1,1,20,3,1,20,12,2,1,4,3,4,4,13,1,0,1,5,"2020/2/7 20:54","2020/2/7 21:05","G",0,58,0,0,0,2,1,10,30,0,1500,1500,1.333333,0,.6347997,.6347997,0,-3000,3000,0,0,0,0,0,0,0,0,0,0,0,0
33,3,2,3,3,0,1,0,5,19,10,5,17,14,10,1,2,3,3,3,27,1,2,1,7,"2020/2/7 20:53","2020/2/7 21:06","G",0,56,0,0,0,4,1,0,20,0,5000,500,1.1,0,.889205,.889205,0,-52500,60000,1,0,0,0,0,0,0,0,0,0,0,0
34,1,2,2,3,0,1,1,1,19,5,2,19,15,8,5,4,3,3,3,28,3,0,10,3,"2020/2/7 20:49","2020/2/7 21:10","G",0,57,0,0,0,4,1,10,20,0,1500,-500,1.333333,0,.9542896,.9542896,0,-6000,25000,0,0,0,0,0,0,0,0,0,0,0,0
35,1,3,3,3,0,0,1,1,15,0,0,16,15,10,0,5,4,4,5,14,1,0,7,4,"2020/2/7 21:00","2020/2/7 21:10","G",0,59,0,0,0,1,1,0,30,0,-5000,-5000,.7,0,.9990509,.9990509,0,-6000,17500,0,0,0,0,0,0,0,0,0,0,0,0
36,2,2,2,3,0,1,0,5,19,18,17,16,15,10,2,5,5,5,5,13,3,0,4,4,"2020/2/7 20:56","2020/2/7 21:11","G",0,58,1,0,0,1,1,20,20,0,-5000,-5000,0,0,.9990509,.9990509,0,-3000,3000,0,0,0,0,0,0,0,0,0,0,0,0
37,3,2,3,2,0,1,0,,19,18,5,17,16,10,5,2,2,3,2,40,3,0,4,5,"2020/2/7 20:54","2020/2/7 21:11","G",0,55,0,0,0,4,0,30,10,10,5000,5000,1.333333,0,.889205,.6347997,0,-40000,35000,1,0,0,1,0,0,0,0,0,1,0,0
38,1,2,3,3,0,0,0,,20,0,0,20,15,0,0,2,2,2,3,13,1,1,3,5,"2020/2/7 20:55","2020/2/7 21:12","G",0,56,0,0,0,4,0,30,10,30,4500,3500,.7,.7,.889205,.9542896,1,-6000,47500,1,0,0,1,0,0,1,0,0,0,0,0
39,2,3,3,2,0,1,0,,0,0,0,15,10,0,1,2,2,2,2,47,3,0,10,13,"2020/2/7 21:03","2020/2/7 21:16","G",0,56,0,0,0,4,0,20,20,20,-500,500,1.333333,0,.6347997,.889205,1,0,3000,1,0,0,1,0,0,1,0,0,1,0,0
40,3,2,2,2,0,1,0,,20,10,2,18,16,12,0,3,2,3,3,44,1,2,3,8,"2020/2/7 20:56","2020/2/7 21:19","G",0,60,0,0,0,4,0,20,50,10,5000,3500,1.333333,1.1,.9990509,.9990509,0,-3000,3000,0,0,0,1,0,0,0,0,0,0,0,0
41,1,2,2,3,0,0,0,,20,15,10,18,17,10,1,3,3,3,2,26,3,0,2,4,"2020/2/7 21:09","2020/2/7 21:21","G",0,55,1,1,0,3,0,0,10,10,-500,-500,.7,.0073333,.9868259,.9990509,1,-20000,25000,0,0,0,0,0,0,0,0,0,1,0,0
42,2,2,1,2,1,1,1,4,20,10,4,17,14,6,0,4,1,4,4,14,1,2,3,5,"2020/2/7 21:15","2020/2/7 21:28","G",0,59,1,0,0,4,1,10,30,0,-500,-500,.7,0,.889205,.9542896,1,-3000,60000,0,0,0,1,1,0,0,0,0,0,0,0
44,1,2,1,3,0,1,0,,10,10,10,10,10,10,10,3,3,3,3,13,3,1,3,12,"2020/2/7 21:23","2020/2/7 21:30","G",0,56,0,0,0,3,0,30,50,50,-5000,-5000,0,0,.9990509,.9990509,0,-6000,47500,0,0,0,0,0,0,0,0,0,0,0,0
45,1,2,2,2,0,1,0,,18,0,0,1,0,0,0,4,4,1,4,13,3,0,9,2,"2020/2/7 21:13","2020/2/7 21:32","G",0,58,1,0,0,4,0,50,50,20,500,500,1.333333,0,.9990509,.6347997,0,-30000,35000,0,0,0,0,0,0,1,1,0,0,0,0
46,2,2,2,2,0,1,0,,15,8,3,12,10,6,3,3,2,3,3,11,1,2,4,6,"2020/2/7 21:26","2020/2/7 21:36","G",0,58,0,0,0,4,0,30,30,20,2500,3500,.7,.2666667,.9721007,.9990509,1,-11500,17500,0,0,0,1,0,0,0,0,0,0,0,0
47,1,2,2,3,1,0,0,,20,0,0,0,0,0,0,3,3,3,3,28,1,2,1,3,"2020/2/7 21:31","2020/2/7 21:36","G",0,57,1,0,0,3,0,50,50,50,500,500,.1,0,.9990509,.9990509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
