age,gender,total,HI_less8,HI8,HI16,HI32,HI64,HI128,HI256,HI512,HI_more1024
57,male,34,5,1,2,5,6,5,4,3,3
58,male,25,5,1,1,2,2,5,4,5,0
59,male,23,1,0,0,5,4,8,2,2,1
60,male,25,3,3,0,4,4,8,3,0,0
61,male,23,3,1,1,3,5,4,2,3,1
62,male,20,5,0,0,1,1,5,2,5,1
63,male,15,1,0,2,0,3,4,3,0,2
64,male,14,2,1,0,0,2,3,4,2,0
65,male,11,0,0,0,1,2,3,5,0,0
66,male,16,1,0,1,2,2,5,2,2,1
67,male,12,1,0,0,2,3,3,3,0,0
68,male,4,0,0,1,0,2,1,0,0,0
69,male,9,0,1,1,1,2,2,2,0,0
70-,male,28,0,3,5,6,7,5,1,1,0
0-5M,female,7,2,3,1,1,0,0,0,0,0
6-11M,female,39,30,6,2,1,0,0,0,0,0
1,female,88,17,3,7,8,13,15,16,9,0
2,female,55,6,3,6,11,11,13,4,1,0
3,female,81,4,8,9,16,18,21,5,0,0
4,female,40,1,3,5,11,15,5,0,0,0
5,female,39,0,2,3,8,9,13,3,1,0
6,female,59,4,7,6,11,20,6,4,1,0
7,female,33,4,2,5,11,7,4,0,0,0
8,female,32,1,2,3,14,7,4,1,0,0
9,female,36,1,3,6,7,10,8,1,0,0
10,female,45,2,2,7,17,14,3,0,0,0
11,female,23,1,4,3,9,2,4,0,0,0
12,female,32,1,2,6,7,9,6,1,0,0
13,female,68,2,2,16,24,12,7,5,0,0
14,female,30,1,1,11,7,8,2,0,0,0
15,female,40,2,2,6,15,9,4,1,1,0
16,female,29,2,5,11,6,3,2,0,0,0
17,female,39,1,2,10,12,10,4,0,0,0
18,female,76,1,3,22,27,18,4,1,0,0
19,female,55,1,1,8,19,16,8,2,0,0
20,female,45,2,0,6,15,14,3,5,0,0
21,female,21,2,1,6,3,7,2,0,0,0
22,female,45,3,5,12,11,9,3,2,0,0
23,female,57,0,2,11,18,17,7,2,0,0
24,female,59,1,3,8,18,17,8,4,0,0
25,female,41,0,0,6,15,17,3,0,0,0
26,female,54,0,2,7,18,21,6,0,0,0
27,female,51,0,1,12,18,13,5,2,0,0
28,female,60,2,2,8,18,16,6,6,2,0
29,female,55,8,2,8,15,11,10,1,0,0
30,female,49,0,0,8,9,17,9,2,4,0
31,female,47,4,1,2,14,14,8,3,1,0
32,female,34,0,1,4,9,10,6,4,0,0
33,female,47,3,1,3,11,14,9,6,0,0
34,female,55,1,2,3,9,19,8,9,2,2
35,female,52,0,1,2,14,17,11,5,1,1
36,female,45,2,0,5,9,6,12,5,5,1
37,female,55,3,1,3,14,11,13,6,3,1
38,female,44,0,1,4,10,13,14,1,1,0
39,female,53,1,1,8,13,13,8,7,2,0
40,female,34,0,1,2,3,13,9,4,2,0
41,female,33,0,0,4,6,14,3,6,0,0
42,female,32,0,0,2,7,7,5,9,2,0
43,female,32,1,2,3,9,4,8,4,1,0
44,female,35,1,1,1,7,8,7,8,0,2
45,female,27,2,1,1,3,7,7,5,1,0
46,female,37,1,1,6,8,5,10,3,3,0
47,female,28,0,0,2,4,6,5,7,2,2
48,female,38,1,1,2,6,7,12,7,2,0
49,female,44,2,2,5,2,12,11,6,3,1
50,female,27,1,0,1,2,5,9,6,2,1
51,female,45,0,0,6,8,8,10,6,5,2
52,female,29,0,2,2,3,5,10,2,3,2
53,female,38,0,0,3,8,5,8,9,4,1
54,female,35,0,0,2,8,7,6,6,4,2
55,female,31,0,1,1,1,8,11,5,3,1
56,female,22,2,2,2,1,2,5,5,2,1
57,female,26,1,0,3,3,7,2,3,5,2
58,female,16,2,0,3,2,4,3,2,0,0
59,female,28,0,0,4,5,2,10,5,2,0
60,female,15,2,1,1,1,4,2,1,2,1
61,female,20,1,0,0,3,2,6,5,3,0
62,female,14,1,0,0,1,4,4,2,1,1
63,female,11,0,1,2,1,2,1,4,0,0
64,female,7,0,1,0,1,1,2,1,1,0
65,female,9,1,0,3,2,1,0,0,0,2
66,female,6,1,0,0,0,0,2,3,0,0
67,female,4,1,0,0,1,1,0,0,1,0
68,female,3,1,0,0,1,0,0,1,0,0
69,female,6,0,0,1,2,0,2,1,0,0
70-,female,28,6,2,3,6,2,3,3,3,0
